Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Purchase-URL
"C1, C10, C11, C12, C14, C15, C16, C19, C2, C20, C23, C3, C4, C5, C6, C7, C8, C9",18,0.1µF,C_Disc_D5.0mm_W2.5mm_P5.00mm,,,,tht,Unpolarized capacitor,,,,,,,,,,,,
C13,1,10µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
"C17, C21, C22",3,100µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
"C18, C24, C25, C26",4,47µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
C27,1,1000µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
J1,1,SWR201-NRTN-S04-SA-WH,SULLINS_SWR201-NRTN-S04-SA-WH,None,,,tht,,Sullins Connector Solutions,6.00mm,None,https://www.snapeda.com/parts/SWR201-NRTN-S04-SA-WH/Sullins/view-part/?ref=eda,Manufacturer Recommendations,A,https://www.snapeda.com/parts/SWR201-NRTN-S04-SA-WH/Sullins/view-part/?ref=snap,SWR201-NRTN-S04-SA-WH,Connector Header Through Hole 4 position 0.079 (2.00mm),In Stock,Sullins,
"J10, J15, J16, J17, J18, J29, J3, J4, J44, J52, J6, J9",12,B2B-XH-A,JST_B2B-XH-A,None,,,tht,,JST Sales,7 mm,None,https://www.snapeda.com/parts/B2B-XH-A/JST/view-part/?ref=eda,Manufacturer Recommendations,N/A,https://www.snapeda.com/parts/B2B-XH-A/JST/view-part/?ref=snap,B2B-XH-A,Connector Header Through Hole 2 position 0.098 (2.50mm),In Stock,JST Sales America Inc.,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=552747&manufacturer=JST Sales&part_name=B2B-XH-A&search_term=b2b-xh-a
"J11, J32, J33",3,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,,,,,,,,
"J12, J13, J23, J24, J26, J27",6,691137710002,691137710002,None,,,tht,,Würth Elektronik,,None,https://www.snapeda.com/parts/691137710002/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=eda,,,https://www.snapeda.com/parts/691137710002/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=snap,691137710002,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,In Stock,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4793356&manufacturer=Würth Elektronik&part_name=691137710002&search_term=691137710002
"J14, J19, J2, J20, J21, J22, J28, J30, J5, J51, J53, J7",12,S2B-XH-A,JST_S2B-XH-A,None,,,tht,,JST Sales,,None,https://www.snapeda.com/parts/S2B-XH-A/JST/view-part/?ref=eda,,,https://www.snapeda.com/parts/S2B-XH-A/JST/view-part/?ref=snap,S2B-XH-A,"Connector Header Through Hole, Right Angle 2 position 0.098 (2.50mm)",In Stock,JST,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=53371&manufacturer=JST Sales&part_name=S2B-XH-A&search_term=conector s2b-xh-a
