Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Description_1,Availability,MANUFACTURER,Purchase-URL
"C1, C2, C23, C3",4,0.1µF,C_Disc_D5.0mm_W2.5mm_P5.00mm,,,,tht,Unpolarized capacitor,,,,,,,,,,,,
"C4, C5",2,47µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
C6,1,100µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
C7,1,10µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
C8,1,1000µF,CP_Radial_D5.0mm_P2.00mm,,,,tht,"capacitor, small US symbol",,,,,,,,,,,,
J1,1,SWR201-NRTN-S04-SA-WH,SULLINS_SWR201-NRTN-S04-SA-WH,None,,,tht,,Sullins Connector Solutions,6.00mm,None,https://www.snapeda.com/parts/SWR201-NRTN-S04-SA-WH/Sullins/view-part/?ref=eda,Manufacturer Recommendations,A,https://www.snapeda.com/parts/SWR201-NRTN-S04-SA-WH/Sullins/view-part/?ref=snap,SWR201-NRTN-S04-SA-WH,Connector Header Through Hole 4 position 0.079 (2.00mm),In Stock,Sullins,
"J10, J9",2,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated",,,,,,,,,,,,
"J11, J14, J15, J17",4,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x01, script generated",,,,,,,,,,,,
"J12, J13",2,691137710002,691137710002,None,,,tht,,Würth Elektronik,,None,https://www.snapeda.com/parts/691137710002/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=eda,,,https://www.snapeda.com/parts/691137710002/W%25C3%25BCrth+Elektronik+Midcom/view-part/?ref=snap,691137710002,2 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole,In Stock,,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4793356&manufacturer=Würth Elektronik&part_name=691137710002&search_term=691137710002
"J2, J3, J4",3,S2B-XH-A,JST_S2B-XH-A,None,,,tht,,JST Sales,,None,https://www.snapeda.com/parts/S2B-XH-A/JST/view-part/?ref=eda,,,https://www.snapeda.com/parts/S2B-XH-A/JST/view-part/?ref=snap,S2B-XH-A,"Connector Header Through Hole, Right Angle 2 position 0.098 (2.50mm)",In Stock,JST,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=53371&manufacturer=JST Sales&part_name=S2B-XH-A&search_term=conector s2b-xh-a
J31,1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated",,,,,,,,,,,,
"J5, J6, J7",3,B2B-XH-A,JST_B2B-XH-A,None,,,tht,,JST Sales,7 mm,None,https://www.snapeda.com/parts/B2B-XH-A/JST/view-part/?ref=eda,Manufacturer Recommendations,N/A,https://www.snapeda.com/parts/B2B-XH-A/JST/view-part/?ref=snap,B2B-XH-A,Connector Header Through Hole 2 position 0.098 (2.50mm),In Stock,JST Sales America Inc.,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=552747&manufacturer=JST Sales&part_name=B2B-XH-A&search_term=b2b-xh-a
J8,1,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x08, script generated",,,,,,,,,,,,
"R1, R2",2,4k7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,,,,,,,
R3,1,500,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,,,,,,,,,,,
U1,1,ESP32-DEVKITC-32E,MODULE_ESP32-DEVKITC-32E,None,,,tht,,Espressif Systems,,None,https://www.snapeda.com/parts/ESP32-DEVKITC-32E/Espressif+Systems/view-part/?ref=eda,Manufacturer Recommendations,1.4,https://www.snapeda.com/parts/ESP32-DEVKITC-32E/Espressif+Systems/view-part/?ref=snap,ESP32-DEVKITC-32E,"The ESP32-DEVKITC-32E transceiver evaluation board from Espressif Systems is a powerful development tool for wireless communication technologies. It supports 802.11 b/g/n Wi-Fi and Bluetooth® Smart Ready 4.x (BLE) dual-mode at 2.4GHz, making it ideal for a variety of IoT applications. Equipped with a PCB antenna and 4MB flash, this board provides reliable connectivity and ample memory for developing and testing RF, RFID, and wireless solutions.",In Stock,Espressif Systems,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4719025&manufacturer=Espressif Systems&part_name=ESP32-DEVKITC-32E&search_term=esp32
"U2, U3, U4",3,~,XGP6847A_TiagoDias,,,,tht,,,,,,,,,,,,,
U5,1,ULN2803A,UNL,DIP-18 Allegro MicroSystems LLC,,,tht,,STMicroelectronics,3.93mm,None,https://www.snapeda.com/parts/ULN2803A/STMicroelectronics/view-part/?ref=eda,IPC-7351B,4,https://www.snapeda.com/parts/ULN2803A/STMicroelectronics/view-part/?ref=snap,ULN2803A,Bipolar (BJT) Transistor Array 8 NPN Darlington 50V 500mA - 2.25W Through Hole 18-DIP,In Stock,STMicroelectronics,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=229416&manufacturer=STMicroelectronics&part_name=ULN2803A&search_term=None
U7,1,3297,MODULE_3297,None,,,tht,,Adafruit Industries,NA,None,https://www.snapeda.com/parts/3297/Adafruit+Industries/view-part/?ref=eda,Manufacturer Recommendations,2020-11-20,https://www.snapeda.com/parts/3297/Adafruit+Industries/view-part/?ref=snap,3297,DRV8833 - Motor Controller/Driver Power Management Evaluation Board,In Stock,Adafruit,
